NACA 64A005
1.000000  0.000000
0.950000  0.002470
0.900000  0.003960
0.800000  0.005430
0.700000  0.005860
0.600000  0.005450
0.500000  0.004430
0.400000  0.003050
0.300000  0.001660
0.250000  0.001150
0.200000  0.000780
0.150000  0.000480
0.100000  0.000260
0.075000  0.000190
0.050000  0.000130
0.025000  0.000070
0.012500  0.000040
0.000000  0.000000
0.012500 -0.000040
0.025000 -0.000070
0.050000 -0.000130
0.075000 -0.000190
0.100000 -0.000260
0.150000 -0.000480
0.200000 -0.000780
0.250000 -0.001150
0.300000 -0.001660
0.400000 -0.003050
0.500000 -0.004430
0.600000 -0.005450
0.700000 -0.005860
0.800000 -0.005430
0.900000 -0.003960
0.950000 -0.002470
1.000000  0.000000
